observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
18988,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
557,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16942,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25133,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25133,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
4657,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4658,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14898,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23089,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33333,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2615,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2615,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
16955,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25152,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25152,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
25152,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
27204,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33362,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33362,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
10835,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14935,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23127,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4697,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33368,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
27228,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
8798,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23138,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39522,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
17001,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33385,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
19054,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25198,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4723,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23155,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
23155,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
39543,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39543,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
27258,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12926,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12931,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14979,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14979,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
23171,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
25222,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2698,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2698,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
27277,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
17049,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4764,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4764,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
4766,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39583,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
15008,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33441,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
15011,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
27299,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4775,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
